representation,query_genre,retrieved_genre,fraction
cnn_resnet_medium,Blues,Soul-RnB,0.00909090880304575
cnn_resnet_medium,Blues,Spoken,0.027272727340459824
cnn_resnet_medium,Classical,Blues,0.004301075357943773
cnn_resnet_medium,Classical,Classical,0.5559139847755432
cnn_resnet_medium,Classical,Country,0.0010752688394859433
cnn_resnet_medium,Classical,Easy Listening,0.003225806402042508
cnn_resnet_medium,Classical,Electronic,0.07956989109516144
cnn_resnet_medium,Classical,Experimental,0.07849462330341339
cnn_resnet_medium,Classical,Folk,0.031182795763015747
cnn_resnet_medium,Classical,Hip-Hop,0.003225806402042508
cnn_resnet_medium,Classical,Instrumental,0.12365591526031494
cnn_resnet_medium,Classical,International,0.027956988662481308
cnn_resnet_medium,Classical,Jazz,0.03655913844704628
cnn_resnet_medium,Classical,Old-Time / Historic,0.0010752688394859433
cnn_resnet_medium,Classical,Pop,0.017204301431775093
cnn_resnet_medium,Classical,Rock,0.034408602863550186
cnn_resnet_medium,Classical,Soul-RnB,0.0010752688394859433
cnn_resnet_medium,Classical,Spoken,0.0010752688394859433
cnn_resnet_medium,Country,Blues,0.025925925001502037
cnn_resnet_medium,Country,Classical,0.0
cnn_resnet_medium,Country,Country,0.06296296417713165
cnn_resnet_medium,Country,Easy Listening,0.0
cnn_resnet_medium,Country,Electronic,0.02222222276031971
cnn_resnet_medium,Country,Experimental,0.04814814776182175
cnn_resnet_medium,Country,Folk,0.14814814925193787
cnn_resnet_medium,Country,Hip-Hop,0.018518518656492233
cnn_resnet_medium,Country,Instrumental,0.025925925001502037
cnn_resnet_medium,Country,International,0.08518518507480621
cnn_resnet_medium,Country,Jazz,0.014814814552664757
cnn_resnet_medium,Country,Old-Time / Historic,0.0
cnn_resnet_medium,Country,Pop,0.17407406866550446
cnn_resnet_medium,Country,Rock,0.3629629611968994
cnn_resnet_medium,Country,Soul-RnB,0.011111111380159855
cnn_resnet_medium,Country,Spoken,0.0
cnn_resnet_medium,Easy Listening,Blues,0.0
cnn_resnet_medium,Easy Listening,Classical,0.03333333507180214
cnn_resnet_medium,Easy Listening,Country,0.0
cnn_resnet_medium,Easy Listening,Easy Listening,0.0
cnn_resnet_medium,Easy Listening,Electronic,0.36666667461395264
cnn_resnet_medium,Easy Listening,Experimental,0.03333333507180214
cnn_resnet_medium,Easy Listening,Folk,0.0
cnn_resnet_medium,Easy Listening,Hip-Hop,0.06666667014360428
cnn_resnet_medium,Easy Listening,Instrumental,0.06666667014360428
cnn_resnet_medium,Easy Listening,International,0.1666666716337204
cnn_resnet_medium,Easy Listening,Jazz,0.0
cnn_resnet_medium,Easy Listening,Old-Time / Historic,0.0
cnn_resnet_medium,Easy Listening,Pop,0.06666667014360428
cnn_resnet_medium,Easy Listening,Rock,0.13333334028720856
cnn_resnet_medium,Easy Listening,Soul-RnB,0.06666667014360428
cnn_resnet_medium,Easy Listening,Spoken,0.0
cnn_resnet_medium,Electronic,Blues,0.0005279831239022315
cnn_resnet_medium,Electronic,Classical,0.008764519356191158
cnn_resnet_medium,Electronic,Country,0.0009503695764578879
cnn_resnet_medium,Electronic,Easy Listening,0.001161562860943377
cnn_resnet_medium,Electronic,Electronic,0.6486800312995911
cnn_resnet_medium,Electronic,Experimental,0.0722280889749527
cnn_resnet_medium,Electronic,Folk,0.012777191586792469
cnn_resnet_medium,Electronic,Hip-Hop,0.06346356868743896
cnn_resnet_medium,Electronic,Instrumental,0.04931362345814705
cnn_resnet_medium,Electronic,International,0.02439281903207302
cnn_resnet_medium,Electronic,Jazz,0.006652587093412876
cnn_resnet_medium,Electronic,Old-Time / Historic,0.0003167898685205728
cnn_resnet_medium,Electronic,Pop,0.03812038153409958
cnn_resnet_medium,Electronic,Rock,0.06420274823904037
cnn_resnet_medium,Electronic,Soul-RnB,0.007180570159107447
cnn_resnet_medium,Electronic,Spoken,0.0012671594740822911
cnn_resnet_medium,Experimental,Blues,0.0038575667422264814
cnn_resnet_medium,Experimental,Classical,0.018991097807884216
cnn_resnet_medium,Experimental,Country,0.0032640949357300997
cnn_resnet_medium,Experimental,Easy Listening,0.0008902077097445726
cnn_resnet_medium,Experimental,Electronic,0.21928782761096954
cnn_resnet_medium,Experimental,Experimental,0.2955489754676819
cnn_resnet_medium,Experimental,Folk,0.05103857442736626
cnn_resnet_medium,Experimental,Hip-Hop,0.03323442116379738
cnn_resnet_medium,Experimental,Instrumental,0.08842729777097702
cnn_resnet_medium,Experimental,International,0.01988130621612072
cnn_resnet_medium,Experimental,Jazz,0.01928783394396305
cnn_resnet_medium,Experimental,Old-Time / Historic,0.0011869436129927635
cnn_resnet_medium,Experimental,Pop,0.0540059357881546
cnn_resnet_medium,Experimental,Rock,0.17655786871910095
cnn_resnet_medium,Experimental,Soul-RnB,0.002373887225985527
cnn_resnet_medium,Experimental,Spoken,0.01216617226600647
